Date,Type,Name,Start,End,Duration
01/05/16,place,HOME,2016-05-01T00:00:00+01:00,2016-05-01T12:34:40+01:00,45280
01/05/16,move,transport,2016-05-01T12:34:40+01:00,2016-05-01T13:04:23+01:00,1783
01/05/16,place,TEMPU's lounge gallery,2016-05-01T13:04:23+01:00,2016-05-01T15:36:13+01:00,9110
01/05/16,move,transport,2016-05-01T15:36:13+01:00,2016-05-01T16:18:46+01:00,2553
01/05/16,place,HOME,2016-05-01T16:18:46+01:00,2016-05-01T17:32:57+01:00,4451
01/05/16,move,transport,2016-05-01T17:32:57+01:00,2016-05-01T17:37:46+01:00,289
01/05/16,move,walking,2016-05-01T17:37:46+01:00,2016-05-01T17:39:51+01:00,125
01/05/16,place,Place in Portugal,2016-05-01T17:39:52+01:00,2016-05-01T17:48:32+01:00,520
01/05/16,move,transport,2016-05-01T17:48:32+01:00,2016-05-01T17:51:19+01:00,167
01/05/16,move,walking,2016-05-01T17:51:20+01:00,2016-05-01T17:53:50+01:00,150
01/05/16,place,Jumbo,2016-05-01T17:53:50+01:00,2016-05-01T18:20:12+01:00,1582
01/05/16,move,walking,2016-05-01T18:20:12+01:00,2016-05-01T18:24:51+01:00,279
01/05/16,place,Place in Dolce Vita Coimbra,2016-05-01T18:24:52+01:00,2016-05-01T18:34:45+01:00,593
01/05/16,move,walking,2016-05-01T18:34:45+01:00,2016-05-01T18:38:21+01:00,216
01/05/16,move,transport,2016-05-01T18:38:21+01:00,2016-05-01T18:46:53+01:00,512
01/05/16,move,walking,2016-05-01T18:46:53+01:00,2016-05-01T18:48:57+01:00,124
01/05/16,place,Piscina,2016-05-01T18:48:58+01:00,2016-05-01T19:40:33+01:00,3095
01/05/16,move,walking,2016-05-01T19:40:33+01:00,2016-05-01T20:30:34+01:00,3001
01/05/16,place,HOME,2016-05-01T20:30:34+01:00,2016-05-02T00:00:00+01:00,12566
02/05/16,place,HOME,2016-05-02T00:00:00+01:00,2016-05-02T08:26:13+01:00,30373
02/05/16,move,transport,2016-05-02T08:26:13+01:00,2016-05-02T08:37:22+01:00,669
02/05/16,place,IPN,2016-05-02T08:37:22+01:00,2016-05-02T11:45:06+01:00,11264
02/05/16,move,transport,2016-05-02T11:45:06+01:00,2016-05-02T11:52:24+01:00,438
02/05/16,move,walking,2016-05-02T11:52:24+01:00,2016-05-02T11:56:01+01:00,217
02/05/16,place,Fnac,2016-05-02T11:56:02+01:00,2016-05-02T12:35:01+01:00,2339
02/05/16,move,walking,2016-05-02T12:35:01+01:00,2016-05-02T12:36:56+01:00,115
02/05/16,place,Place in Forum Coimbra,2016-05-02T12:36:57+01:00,2016-05-02T12:39:04+01:00,127
02/05/16,move,transport,2016-05-02T12:39:04+01:00,2016-05-02T12:48:47+01:00,583
02/05/16,move,walking,2016-05-02T12:48:48+01:00,2016-05-02T12:50:49+01:00,121
02/05/16,place,DEI,2016-05-02T12:50:49+01:00,2016-05-02T16:41:15+01:00,13826
02/05/16,move,walking,2016-05-02T16:41:15+01:00,2016-05-02T16:43:20+01:00,125
02/05/16,move,transport,2016-05-02T16:43:21+01:00,2016-05-02T16:49:53+01:00,392
02/05/16,place,Escola Sofia,2016-05-02T16:49:53+01:00,2016-05-02T17:03:56+01:00,843
02/05/16,move,transport,2016-05-02T17:03:56+01:00,2016-05-02T17:11:51+01:00,475
02/05/16,place,HOME,2016-05-02T17:11:51+01:00,2016-05-03T00:00:00+01:00,24489
