Date,Type,Name,Start,End,Duration
15/02/16,place,N10 - Futebol Indoor,2016-02-15T19:12:03Z,2016-02-15T19:19:03Z,420
15/02/16,move,transport,2016-02-15T19:19:03Z,2016-02-15T19:34:34Z,931
15/02/16,place,Rei dos Frangos,2016-02-15T19:34:34Z,2016-02-15T19:45:59Z,685
15/02/16,move,transport,2016-02-15T19:45:59Z,2016-02-15T19:54:09Z,490
15/02/16,place,HOME,2016-02-15T19:54:10Z,2016-02-16T00:00:00Z,14750
16/02/16,place,HOME,2016-02-16T00:00:00Z,2016-02-16T08:09:11Z,29351
16/02/16,move,transport,2016-02-16T08:09:11Z,2016-02-16T08:20:45Z,694
16/02/16,move,walking,2016-02-16T08:20:46Z,2016-02-16T08:24:25Z,219
16/02/16,place,Place in Portugal,2016-02-16T08:24:25Z,2016-02-16T08:24:27Z,2
17/02/16,move,walking,2016-02-17T13:05:56Z,2016-02-17T13:39:18Z,2002
17/02/16,place,Cervejaria Munich,2016-02-17T13:39:18Z,2016-02-17T14:24:49Z,2731
17/02/16,move,walking,2016-02-17T14:24:49Z,2016-02-17T14:54:24Z,1775
17/02/16,place,DEI,2016-02-17T14:54:25Z,2016-02-17T17:07:29Z,7984
17/02/16,move,walking,2016-02-17T17:07:29Z,2016-02-17T17:23:07Z,938
17/02/16,move,transport,2016-02-17T17:23:07Z,2016-02-17T17:52:55Z,1788
17/02/16,place,N10 - Futebol Indoor,2016-02-17T17:52:55Z,2016-02-17T19:07:16Z,4461
17/02/16,move,transport,2016-02-17T19:07:16Z,2016-02-17T19:22:49Z,933
17/02/16,place,HOME,2016-02-17T19:23:21Z,2016-02-18T00:00:00Z,16599
18/02/16,place,HOME,2016-02-18T00:00:00Z,2016-02-18T06:57:35Z,25055
18/02/16,move,walking,2016-02-18T15:12:12Z,2016-02-18T15:46:22Z,2050
18/02/16,place,DEI,2016-02-18T15:46:22Z,2016-02-18T17:10:11Z,5029
18/02/16,move,walking,2016-02-18T17:10:11Z,2016-02-18T17:22:40Z,749
18/02/16,move,transport,2016-02-18T17:22:40Z,2016-02-18T17:40:08Z,1048
18/02/16,place,HOME,2016-02-18T17:40:09Z,2016-02-18T18:02:27Z,1338
18/02/16,move,transport,2016-02-18T18:02:27Z,2016-02-18T18:26:41Z,1454
18/02/16,move,walking,2016-02-18T18:26:41Z,2016-02-18T18:29:47Z,186
18/02/16,place,Fnac,2016-02-18T18:29:47Z,2016-02-18T19:00:56Z,1869
18/02/16,move,transport,2016-02-18T19:00:56Z,2016-02-18T19:25:49Z,1493
18/02/16,place,HOME,2016-02-18T19:25:50Z,2016-02-19T00:00:00Z,16450
19/02/16,place,HOME,2016-02-19T00:00:00Z,2016-02-19T08:18:14Z,29894
19/02/16,move,transport,2016-02-19T08:18:14Z,2016-02-19T08:33:48Z,934
19/02/16,move,walking,2016-02-19T08:33:49Z,2016-02-19T08:36:19Z,150
19/02/16,place,DEI,2016-02-19T08:36:20Z,2016-02-19T17:08:20Z,30720
19/02/16,move,transport,2016-02-19T17:08:20Z,2016-02-19T17:33:31Z,1511
19/02/16,place,British Council,2016-02-19T17:33:32Z,2016-02-19T18:50:01Z,4589
19/02/16,move,walking,2016-02-19T18:50:01Z,2016-02-19T19:03:34Z,813
19/02/16,place,Afonso,2016-02-19T19:03:34Z,2016-02-19T19:38:12Z,2078
06/03/16,place,HOME,2016-03-06T13:29:12Z,2016-03-06T18:01:27Z,16335
06/03/16,move,walking,2016-03-06T18:01:27Z,2016-03-06T18:20:59Z,1172
06/03/16,place,Jumbo,2016-03-06T18:21:00Z,2016-03-06T18:53:23Z,1943
06/03/16,move,walking,2016-03-06T18:53:23Z,2016-03-06T19:03:30Z,607
06/03/16,place,Place in Portugal,2016-03-06T19:03:30Z,2016-03-06T19:07:26Z,236
06/03/16,move,walking,2016-03-06T19:07:26Z,2016-03-06T19:58:43Z,3077
06/03/16,place,HOME,2016-03-06T19:58:43Z,2016-03-07T00:00:00Z,14477
07/03/16,place,HOME,2016-03-07T00:00:00Z,2016-03-07T08:10:21Z,29421
07/03/16,move,transport,2016-03-07T08:10:21Z,2016-03-07T08:24:09Z,828
07/03/16,place,IPN,2016-03-07T08:24:10Z,2016-03-07T14:14:41Z,21031
07/03/16,move,transport,2016-03-07T14:14:41Z,2016-03-07T14:20:02Z,321
07/03/16,move,walking,2016-03-07T14:20:02Z,2016-03-07T14:22:08Z,126
07/03/16,place,Edifício FCTUC polo II,2016-03-07T14:22:09Z,2016-03-07T17:09:32Z,10043
07/03/16,move,walking,2016-03-07T17:09:32Z,2016-03-07T17:11:47Z,135
07/03/16,move,transport,2016-03-07T17:11:47Z,2016-03-07T17:45:57Z,2050
07/03/16,place,N10 - Futebol Indoor,2016-03-07T17:45:58Z,2016-03-07T19:09:54Z,5036
07/03/16,move,transport,2016-03-07T19:09:54Z,2016-03-07T19:23:19Z,805
07/03/16,place,HOME,2016-03-07T19:23:51Z,2016-03-08T00:00:00Z,16569
08/03/16,place,HOME,2016-03-08T00:00:00Z,2016-03-08T08:08:17Z,29297
08/03/16,move,transport,2016-03-08T08:08:17Z,2016-03-08T08:20:18Z,721
08/03/16,move,walking,2016-03-08T08:20:18Z,2016-03-08T08:36:55Z,997
08/03/16,place,Edifício FCTUC polo II,2016-03-08T08:36:56Z,2016-03-08T13:58:10Z,19274
08/03/16,move,walking,2016-03-08T13:58:10Z,2016-03-08T14:24:21Z,1571
08/03/16,place,DEI,2016-03-08T14:24:21Z,2016-03-08T14:59:23Z,2102
08/03/16,move,walking,2016-03-08T14:59:23Z,2016-03-08T15:05:48Z,385
08/03/16,place,DEM,2016-03-08T15:05:48Z,2016-03-08T16:50:34Z,6286
08/03/16,move,walking,2016-03-08T16:50:34Z,2016-03-08T16:53:36Z,182
08/03/16,place,DEI,2016-03-08T16:53:37Z,2016-03-08T20:20:55Z,12438
08/03/16,move,walking,2016-03-08T20:20:55Z,2016-03-08T20:38:11Z,1036
08/03/16,move,transport,2016-03-08T20:38:12Z,2016-03-08T20:51:42Z,810
08/03/16,move,walking,2016-03-08T20:51:42Z,2016-03-08T20:53:57Z,135
08/03/16,place,HOME,2016-03-08T20:53:58Z,2016-03-09T00:00:00Z,11162
